year,subsidy,date,time,pages,capsule,capsule_tagged,groups,characters
,,,,54,Mario Incandenza born,<mario>Mario Incandenza</> born,eta,mario
1992,,,,1058,Beginnings of Le Jeu du Prochain Train among Québécois youth,Beginnings of <i>Le Jeu du Prochain Train</i> among Québécois youth,afr,
,,June,,27,Hal Incandenza born,<hal>Hal Incandenza</> born,eta,hal
1994,,,,"903, 904",Gately takes “his first Quaalude at age thirteen” and becomes a “devotee of Quaaludes and Hefehreffer-brand beer”,<gately>Gately</> takes “his first Quaalude at age thirteen” and becomes a “devotee of Quaaludes and Hefehreffer-brand beer”,eh,gately
1997,,,,987,The M.I.T. language riots break out in the wake of the Militant Grammarians of Massachusetts convention,The M.I.T. language riots break out in the wake of the Militant Grammarians of Massachusetts convention,onan,
,,March or Early April,,10,Hal finds some mold in the basement of his Weston house: “I ate this”,<hal>Hal</> finds some mold in the basement of his Weston house: “I ate this”,eta,hal
,,May,,906,Gately withdraws from school after failing “Sophomore Comp.” to preserve his junior season on the football team,<gately>Gately</> withdraws from school after failing “Sophomore Comp.” to preserve his junior season on the football team,eh,gately
,,Late October,,906,Gately smokes his “first gasper” after his mother is taken to the hospital with a “cirrhotic hemorrhage and cerebral-blood thing”,<gately>Gately</> smokes his “first gasper” after his mother is taken to the hospital with a “cirrhotic hemorrhage and cerebral-blood thing”,eh,gately
,,,,911,"After dropping out of school, Gately works for bookmaker Whitey Sorkin and meets Gene Fackelmann","After dropping out of school, <gately>Gately</> works for bookmaker <sorkin>Whitey Sorkin</> and meets <fax>Gene Fackelmann</>",eh,"fax,gately,sorkin"
1999,,,,4,Hal moves to the E.T.A. dorms at age seven,<hal>Hal</> moves to the E.T.A. dorms at age seven,eta,hal
,,,,912,Gately serves “as like Whitey Sorkin’s operative in the field” from the age of 18–23,<gately>Gately</> serves “as like <sorkin>Whitey Sorkin’s</> operative in the field” from the age of 18–23,eh,"gately,sorkin"
2001,,,,843,"At 20, Gately spends “about a year” crashing in the loft of a “ragingly addicted R.N.” student’s dorm in Malden","At 20, <gately>Gately</> spends “about a year” crashing in the loft of a “ragingly addicted R.N.” student’s dorm in Malden",eh,gately
,,,,283,Orin “got out of competitive tennis when Hal was nine and Mario nearly eleven”,<orin>Orin</> “got out of competitive tennis when <hal>Hal</> was nine and <mario>Mario</> nearly eleven”,eta,"mario,hal,orin"
,,,,294,Orin’s first game against Syracuse was “in its last season of representing an American University”,<orin>Orin’s</> first game against Syracuse was “in its last season of representing an American University”,eta,orin
,,,,411,"“Subsidized Time was conceived on the back of a chintzy Chinese-zodiac paper placemat, by R. Tine” in a “famous Vienna, Virginia Szechuan steakhouse”","“Subsidized Time was conceived on the back of a chintzy Chinese-zodiac paper placemat, by <tine-sr>R. Tine</>” in a “famous Vienna, Virginia Szechuan steakhouse”",onan,tine-sr
,,“after Xmas”,,915,"While forging drivers licenses, Gately watches Orin (the “B.U. punter”) on television and begins to cry","While forging drivers licenses, <gately>Gately</> watches <orin>Orin</> (the “B.U. punter”) on television and begins to cry","eta,eh","gately,orin"
,,“two days later”,,916,Gately is arrested for assaulting a pair of bouncers two days later,<gately>Gately</> is arrested for assaulting a pair of bouncers two days later,eh,gately
,,New Year’s Eve,,296,"“Freshman New Year’s Eve … the last P.M. Before Subsidization, was the first time Orin saw Joelle ingest very small amounts of cocaine”","“Freshman New Year’s Eve … the last P.M. Before Subsidization, was the first time <orin>Orin</> saw <joelle>Joelle</> ingest very small amounts of cocaine”",eta,"joelle,orin"
2002,Year of the Whopper,,,924,Gately is “disastrously involved with one Pamela Hoffman-Jeep” for several months before doing his “State assault-bit”,<gately>Gately</> is “disastrously involved with one <phj>Pamela Hoffman-Jeep</>” for several months before doing his “State assault-bit”,eh,"phj,gately"
,,,,917,"During Gately’s three months of being out on bail, Fackelmann pulls a “scam with Eighties Bill and Sixties Bob” and rips off Sorkin in the process","During <gately>Gately’s</> three months of being out on bail, <fax>Fackelmann</> pulls a “scam with Eighties Bill and Sixties Bob” and rips off <sorkin>Sorkin</> in the process",eh,"fax,gately,sorkin"
,,,,981,"Sorkin’s henchmen arrive to collect; Gately winds up “flat on his back on the beach in the freezing sand, and it was raining out of a low sky, and the tide was way out”","Sorkin’s henchmen arrive to collect; <gately>Gately</> winds up “flat on his back on the beach in the freezing sand, and it was raining out of a low sky, and the tide was way out”",eh,"phj,poor-tony,fax,gately,bobby-c"
,,March,,916,Gately does his 17 months at Billerica Minimum,<gately>Gately</> does his 17 months at Billerica Minimum,eh,gately
,,,,1056,The Great Concavity/Convexity—“ecologically distorted and possibly mutagenic territory”—is forcibly ‘ceded’ to Canada,The Great Concavity/Convexity—“ecologically distorted and possibly mutagenic territory”—is forcibly ‘ceded’ to Canada,onan,
,,,,93,Previous residents of northern New England leave en masse during The Experialist Migration,Previous residents of northern New England leave en masse during The Experialist Migration,onan,
,,,,137,Ennet House founded by the Guy Who Didn’t Even Use His First Name,Ennet House founded by the <guy>Guy Who Didn’t Even Use His First Name</>,eh,guy
,,,,899,James Incandenza begins experiencing a “delusion of silence” when Hal speaks,<joi>James Incandenza</> begins experiencing a “delusion of silence” when <hal>Hal</> speaks,eta,"joi,hal"
2003,Year of the Tucks Medicated Pad,,,707,Joelle’s collaboration with James begins with her appearance in Low-Temperature Civics,<joelle>Joelle’s</> collaboration with <joi>James</> begins with her appearance in <i>Low-Temperature Civics</i>,eta,"joi,joelle"
,,1 April,,27,Hal encounters a “professional conversationalist” (his father in disguise),<hal>Hal</> encounters a “professional conversationalist” (his <joi>father</> in disguise),eta,"joi,hal"
,,,,899,Orin tells Hal that “when he took the Moms’s car in the morning he sometimes observed the smeared prints of nude human feet on the inside of the windshield”,<orin>Orin</> tells <hal>Hal</> that “when he took <avril>the Moms’s</> car in the morning he sometimes observed the smeared prints of nude human feet on the inside of the windshield”,eta,"avril,hal,orin"
,,August,,918,"Gately is released from Billerica and hooks up with Trent Kite, his “trusted associate for B&Es”","<gately>Gately</> is released from Billerica and hooks up with <kite>Trent Kite</>, his “trusted associate for B&Es”",eh,"gately,kite"
,,24 November,Thanksgiving,"788, 795","Orin and Joelle spend Thanksgiving with her folks, during which Joelle is disfigured and her mother kills herself","<orin>Orin</> and <joelle>Joelle</> spend Thanksgiving with her folks, during which Joelle is disfigured and her mother kills herself",eta,"joelle,orin"
2004,Year of the Trial-Size Dove Bar,January,,249,James Incandenza “quit drinking in January … It was something Joelle was real specific about”,<joi>James Incandenza</> “quit drinking in January … It was something <joelle>Joelle</> was real specific about”,eta,"joi,joelle"
,,,,230,James shoots ‘Infinite Jest’ which features a revolving door pas de deux and Joelle delivering a “crib’s-eye view” monologue filmed through an “auto-wobble lens”,<joi>James</> shoots <i>Infinite Jest</i> which features a revolving door pas de deux and <joelle>Joelle</> delivering a “crib’s-eye view” monologue filmed through an “auto-wobble lens”,eta,"joi,joelle"
,,March,,249,James “went in for another detox”,<joi>James</> “went in for another detox”,eta,joi
,,"1 April, after lunch",,"64, 249",James Incandenza commits suicide at age 54,<joi>James Incandenza</> commits suicide at age 54,eta,joi
,,"1 April, before 16:30",,250,"Hal discovers his dead father, a half-full bottle of Wild Turkey, and a modified microwave in the family kitchen","<hal>Hal</> discovers his dead <joi>father</>, a half-full bottle of Wild Turkey, and a modified microwave in the family kitchen",eta,"joi,hal"
,,“5 or 6 April”,,910,James is buried “fewer than five clicks west of the Great Concavity” in the town of St. Adalbert,<joi>James</> is buried “fewer than five clicks west of the Great Concavity” in the town of St. Adalbert,eta,joi
,,,,63,An eleven-year-old Hal has nightmares about a “face in the floor”,An eleven-year-old <hal>Hal</> has nightmares about a “face in the floor”,eta,hal
,,,,891,Gately “happened onto Demerol at age twenty-three”,<gately>Gately</> “happened onto Demerol at age twenty-three”,eh,gately
,,Autumn,,1057,The A.F.R. begins a campaign of political assassinations and terror attacks,The <afr>A.F.R.</> begins a campaign of political assassinations and terror attacks,afr,afr
2005,Year of the Perdue Wonderchicken,,,1015,The last time Hal saw Orin (given that he hasn’t seen him for “four years” in Y.D.A.U.),The last time <hal>Hal</> saw <orin>Orin</> (given that he hasn’t seen him for “four years” in Y.D.A.U.),eta,"hal,orin"
,,,,591,Joelle begins broadcasting as Madame Psychosis on WYYY,<joelle>Joelle</> begins broadcasting as Madame Psychosis on WYYY,eta,joelle
,,,,833,"At age 24, “sleeping on the cold beach up in Gloucester,” Gately is “struck dumb” with pleuritic laryngitis","At age 24, “sleeping on the cold beach up in Gloucester,” <gately>Gately</> is “struck dumb” with pleuritic laryngitis",eh,gately
2006,Year of the Whisper-Quiet Maytag Dishmaster,,,233,The “ultimate cartridge-as-ecstatic-death rumor” begins “going around like a lazy toilet”,The “ultimate cartridge-as-ecstatic-death rumor” begins “going around like a lazy toilet”,onan,
,,,,462,Gately’s license is revoked after “getting pinched on a DUI in Peabody on a license that had already been suspended for a previous DUI in Lowell”,<gately>Gately’s</> license is revoked after “getting pinched on a DUI in Peabody on a license that had already been suspended for a previous DUI in Lowell”,eh,gately
2007,"Year of the Yushityu 2007 Mimetic-Resolution-Cartridge-View-Motherboard-Easy-To-Install-Upgrade For Infernatron/InterLace TP Systems For Home, Office, Or Mobile (sic)",,,20,Ken Erdedy enrolls in an “outpatient treatment program” but is “insufficiently committed”,<erdedy>Ken Erdedy</> enrolls in an “outpatient treatment program” but is “insufficiently committed”,eh,erdedy
,,,,457,“Hal tore all the soft left-ankle tissue he then owned at fifteen … at Atlanta’s Easter Bowl”,“<hal>Hal</> tore all the soft left-ankle tissue he then owned at fifteen … at Atlanta’s Easter Bowl”,eta,hal
,,April,,172,"Mario’s film “Tennis and the Feral Prodigy” gets an honorable mention in InterLace’s “New Eyes, New Voices” contest","<mario>Mario’s</> film <i>Tennis and the Feral Prodigy</i> gets an honorable mention in InterLace’s “New Eyes, New Voices” contest",eta,mario
,,6? November,,1018,"Hal, Pemulis, Struck, and Troeltsch “have made a little ritual of nipping out to the little hidden clearing behind West House’s parking lot’s dumpsters and sharing an obscene cigar-sized duBois before the I.-Day-Eve expedition”","<hal>Hal</>, <pemulis>Pemulis</>, <struck>Struck</>, and <troeltsch>Troeltsch</> “have made a little ritual of nipping out to the little hidden clearing behind West House’s parking lot’s dumpsters and sharing an obscene cigar-sized duBois before the I.-Day-Eve expedition”",eta,"struck,troeltsch,pemulis,hal"
2008,Year of Dairy Products from the American Heartland,Spring,,259,John Wayne recruited to E.T.A.,<wayne>John Wayne</> recruited to E.T.A.,eta,wayne
,,"""",,262,“John Wayne’s Québécois and Canadian citizenships … revoked”,“<wayne>John Wayne’s</> Québécois and Canadian citizenships … revoked”,eta,wayne
,,"""",,957,Avril and John Wayne become romantiaclly involved “roughly the second month after his arrival”,<avril>Avril</> and <wayne>John Wayne</> become romantiaclly involved “roughly the second month after his arrival”,eta,"wayne,avril"
,,Summer,,548,The Office of Unspecified Services becomes aware of samizdat copies of ‘Infinite Jest’ “popping haphazardly up in random locales”,The <ous>Office of Unspecified Services</> becomes aware of samizdat copies of <i>Infinite Jest</i> “popping haphazardly up in random locales”,onan,ous
,,Autumn,,59,Don Gately accidentally kills Guillaume DuPlessis during a B&E; among the spoils of the robbery is the master copy of ‘Infinite Jest’ (which Kite will fence to Sixties Bob before it ultimately winds up in the hands of the Antitoi Brothers),<gately>Don Gately</> accidentally kills <duplessis>Guillaume DuPlessis</> during a B&E; among the spoils of the robbery is the master copy of <i>Infinite Jest</i> (which <kite>Kite</> will fence to Sixties Bob before it ultimately winds up in the hands of the <antitois>Antitoi Brothers</>),"afr,eh","gately,kite,duplessis,antitois"
,,10 September,,274,Gately’s last day of drug use,<gately>Gately’s</> last day of drug use,eh,gately
,,November,,1052,The beginning of a year in which Hal never goes “over twenty-four hours without getting high in secret”,The beginning of a year in which <hal>Hal</> never goes “over twenty-four hours without getting high in secret”,eta,hal
2009,Year of the Depend Adult Undergarment,January–February,,1077,A spate of toothbrush-tamperings at E.T.A. in which “person or persons unknown went around coating selected toothbrushes … with what was finally pinpointed as betel-nut extract”,A spate of toothbrush-tamperings at E.T.A. in which “person or persons unknown went around coating selected toothbrushes … with what was finally pinpointed as betel-nut extract”,eta,
,,1 April,,37,"A Near Eastern Medical Attaché, his wife, and six others watch a recursive loop of ‘Infinite Jest’","A <nema>Near Eastern Medical Attaché</>, his wife, and six others watch a recursive loop of <i>Infinite Jest</i>",onan,nema
,,30 April,,87,"Marathe and Steeply talk throughout the evening in the cliffs overlooking Tucson, AZ","<marathe>Marathe</> and <steeply>Steeply</> talk throughout the evening in the cliffs overlooking Tucson, AZ","onan,afr","steeply,marathe"
,,,,"462, 463",Gately learns “after eight months of indescribable psychic cringing” that the O.U.S. is investigating the botched burglary and death of M. DuPlessis,<gately>Gately</> learns “after eight months of indescribable psychic cringing” that the <ous>O.U.S.</> is investigating the botched burglary and death of <duplessis>M. DuPlessis</>,"onan,afr,eh","gately,duplessis,ous"
,,10 August,,142,The tale of Poor Tony Krause’s stolen heart is recounted in Steeply’s ‘Moment’ article,The tale of <poor-tony>Poor Tony Krause’s</> stolen heart is recounted in <steeply>Steeply’s</> <i><moment>Moment</></i> article,"onan,eh","poor-tony,moment,steeply"
,,October,,48,‘Moment’ wants Orin to participate in “some sort of insipid-type personality-profile series of interviews”,<i><moment>Moment</></i> wants <orin>Orin</> to participate in “some sort of insipid-type personality-profile series of interviews”,"onan,eta","moment,orin"
,,Mid-October,,121,Mario and Millicent Kent investigate a mysterious tripod in the bushes,<mario>Mario</> and <kent>Millicent Kent</> investigate a mysterious tripod in the bushes,eta,"mario,kent"
,,22 October,,187,Madame Psychosis’s farewell transmission,<joelle>Madame Psychosis’s</> farewell transmission,eh,joelle
,,“before Halloween”,,545,Lenz begins killing small animals during his pre-curfew walks,<lenz>Lenz</> begins killing small animals during his pre-curfew walks,eh,lenz
,,1 November,,65,Orin and the rest of the Cardinals take to the field in bird costumes,<orin>Orin</> and the rest of the Cardinals take to the field in bird costumes,eta,orin
,,"3 November, Tuesday",,95,"Hal, Pemulis, et al. banter in the locker room; later they do some mentoring in their Little Buddies groups","<hal>Hal</>, <pemulis>Pemulis</>, et al. banter in the locker room; later they do some mentoring in their Little Buddies groups",eta,"pemulis,hal"
,,"""",,137,"Out of the blue, Orin asks Hal “What all do you know about Separatism?”","Out of the blue, <orin>Orin</> asks <hal>Hal</> “What all do you know about <afr>Separatism</>?”","afr,eta","afr,hal,orin"
,,"""",,60,"Troeltsch suffers through a “rhinovirus, the sudden severe kind” and reflects on Graham Rader having ‘pretended’ to sneeze on him the day before","<troeltsch>Troeltsch</> suffers through a “rhinovirus, the sudden severe kind” and reflects on <rader>Graham Rader</> having ‘pretended’ to sneeze on him the day before",eta,"rader,troeltsch"
,,"""",,1026,Orin and Steeply sit down for the ‘Moment’ interview,<orin>Orin</> and <steeply>Steeply</> sit down for the <i><moment>Moment</></i> interview,"onan,eta","moment,steeply,orin"
,,"""",,663,"Steeply contacts Orin’s academy friend, the “not InterNetted” Marlon Bain","<steeply>Steeply</> contacts <orin>Orin’s</> academy friend, the “not InterNetted” Marlon Bain","onan,eta","steeply,orin"
,,"4 November, Wednesday",,"171, 170",Hal reads Hamlet while waiting by the phone for news of Pemulis buying DMZ from the Antitoi Brothers,<hal>Hal</> reads <i>Hamlet</i> while waiting by the phone for news of <pemulis>Pemulis</> buying DMZ from the <antitois>Antitoi Brothers</>,"afr,eta","pemulis,hal,antitois"
,,"5 November, Thursday",,244,Orin and Hal discuss Himself’s death and Orin’s suspicion he’s being followed by “very shy fans” in wheelchairs,<orin>Orin</> and <hal>Hal</> discuss <joi>Himself’s</> death and Orin’s suspicion he’s being followed by “very shy fans” in <afr>wheelchairs</>,"afr,eta","afr,joi,hal,orin"
,,"6 November, Friday",,217,E.T.A. go on-the-road to a meet at Port Washington Academy,E.T.A. go on-the-road to a meet at Port Washington Academy,eta,
,,"7 November, Saturday",1412h,1005,Orin shares a discovery about the shared meter of Emily Dickenson’s poetry and The Yellow Rose (of Texas),<orin>Orin</> shares a discovery about the shared meter of Emily Dickenson’s poetry and <i>The Yellow Rose (of Texas)</i>,eta,orin
,,"""",,1004,Hal checks his messages while sifting through one of Mario’s “shoeboxes of letters and snapshots”,<hal>Hal</> checks his messages while sifting through one of <mario>Mario’s</> “shoeboxes of letters and snapshots”,eta,"mario,hal"
,,"""",1600h,1011,Orin reflects on his time with Steeply and discusses the unexpectedly political tenor of the interview questions with Hal,<orin>Orin</> reflects on his time with <steeply>Steeply</> and discusses the unexpectedly political tenor of the interview questions with <hal>Hal</>,"onan,eta","steeply,hal,orin"
,,"8 November, Sunday",,1025,Interdependence Day; Joelle arrives at Ennet House,Interdependence Day; <joelle>Joelle</> arrives at Ennet House,eh,joelle
,,"""",,475,"The A.F.R. arrive in Inman Square and murder the Antitoi Brothers, taking over the store as a base of operations","The A.F.R. arrive in Inman Square and murder the <antitois>Antitoi Brothers</>, taking over the store as a base of operations",afr,antitois
,,"""",1400h,"1011, 332","An Eschaton match turns tragicomic while Hal and his droogs (and, clandestinely, Steeply) watch from the sidelines","An Eschaton match turns tragicomic while <hal>Hal</> and his droogs (and, clandestinely, <steeply>Steeply</>) watch from the sidelines","onan,eta","pemulis,lord,axford,steeply,hal,troeltsch"
,,"""",1930h,,Annual screening of Mario’s satirical history of the Gentle administration and its O.N.A.N.-ite Reconfiguration,Annual screening of <mario>Mario’s</> satirical history of the <gentle>Gentle</> administration and its O.N.A.N.-ite Reconfiguration,"onan,eta","mario,gentle"
,,"9 November, Monday",LATE P.M.,550,Pemulis notices Ortho Stice “interfacing with Dr. Rusk well after regular hours” and decides to eavesdrop,<pemulis>Pemulis</> notices <stice>Ortho Stice</> “interfacing with <rusk>Dr. Rusk</> well after regular hours” and decides to eavesdrop,eta,"rusk,pemulis,stice"
,,"""",2100h,"551, 552",Pemulis interrupts Avril and Wayne’s Orin-and-Joelle-themed roleplay,<pemulis>Pemulis</> interrupts <avril>Avril</> and <wayne>Wayne’s</> Orin-and-Joelle-themed roleplay,eta,"wayne,pemulis,avril"
,,"10 November, Tuesday",,509,Hal finally visits the dentist about the pain he’s been experiencing in the “left-molar range”,<hal>Hal</> finally visits the dentist about the pain he’s been experiencing in the “left-molar range”,eta,hal
,,"""",,527,"Hal, Pemulis, Axford, and Kittenplan arrive at Tavis’s office expecting an Eschaton-related lecture but are greeted by a “urologist in an O.N.A.N.T.A. blazer” instead","<hal>Hal</>, <pemulis>Pemulis</>, <axford>Axford</>, and <kittenplan>Kittenplan</> arrive at <tavis>Tavis’s</> office expecting an Eschaton-related lecture but are greeted by a “urologist in an O.N.A.N.T.A. blazer” instead",eta,"axford,pemulis,kittenplan,hal,tavis"
,,"11 November, Wednesday",at 0450h,531,Joelle and Gately talk late into the night about the different forms of ‘recovery’ offered by A.A. and U.H.I.D.,<joelle>Joelle</> and <gately>Gately</> talk late into the night about the different forms of ‘recovery’ offered by A.A. and U.H.I.D.,eh,"gately,joelle"
,,"""",,"651, 673",Hal and Stice play an unexpectedly close exhibition match on the Show Court which Steeply watches from the stands with deLint and Poutrincourt,<hal>Hal</> and <stice>Stice</> play an unexpectedly close exhibition match on the Show Court which <steeply>Steeply</> watches from the stands with <delint>deLint</> and <poutrincourt>Poutrincourt</>,"onan,afr,eta","poutrincourt,steeply,delint,stice,schtitt,hal"
,,"""",,666,The “sub-14 male Eschatonites” of Tunnel Club explore the subterranean depths of E.T.A. and discover boxes full of “old and mostly unlabelled” TP cartridges and a horrific-smelling dorm fridge,The “sub-14 male Eschatonites” of Tunnel Club explore the subterranean depths of E.T.A. and discover boxes full of “old and mostly unlabelled” TP cartridges and a horrific-smelling dorm fridge,eta,
,,"""",,655,Pemulis and Struck sneak into the B.U. School of Pharmacy library to read up on DMZ,<pemulis>Pemulis</> and <struck>Struck</> sneak into the B.U. School of Pharmacy library to read up on DMZ,eta,"struck,pemulis"
,,"""",,"655, 845",Orin’s new Subject is a ‘Swiss’ hand model who will turn out to be an under-cover Luria Perec,<orin>Orin’s</> new Subject is a ‘Swiss’ hand model who will turn out to be an under-cover <luria>Luria Perec</>,"afr,eta","orin,luria"
,,"""",1810h,"627, 635",Dinner in the E.T.A. cafeteria: Steeply sits with the prorectors; Didi and Clenette make off with a backpack of “dumpster pilferage;” Ingersoll returns from the hospital,Dinner in the E.T.A. cafeteria: <steeply>Steeply</> sits with the prorectors; <neaves>Didi</> and <henderson>Clenette</> make off with a backpack of “dumpster pilferage;” <ingersol>Ingersoll</> returns from the hospital,"onan,eh,eta","ingersol,steeply,neaves,henderson"
,,"""",,686,Hal seeks guidance from deLint after his near-loss and is told he “never quite occurred out there” (echoing Schtitt),<hal>Hal</> seeks guidance from <delint>deLint</> after his near-loss and is told he “never quite occurred out there” (echoing <schtitt>Schtitt</>),eta,"schtitt,delint,hal"
,,Mandatory P.M. study period,,"686, 701","Hal, brooding, binges on Himself’s films in V.R. 6, each a “carefully labelled black diskette”","<hal>Hal</>, brooding, binges on <joi>Himself’s</> films in V.R. 6, each a “carefully labelled black diskette”",eta,"joi,hal"
,,"""",2030h,1055,Jim struck ‘writes’ an essay on separatism that mostly consists of plagiarized passages from Geoffery Day’s article,<struck>Jim Struck</> ‘writes’ an essay on separatism that mostly consists of plagiarized passages from <day>Geoffery Day’s</> article,"eta,eh","struck,day"
,,"""",2100h,755,Mario collects some B-roll material around campus then talks with Avril about the nature of sadness,<mario>Mario</> collects some B-roll material around campus then talks with <avril>Avril</> about the nature of sadness,eta,"mario,avril"
,,"""",2109h,555,"Lenz uses his trips to A.A. as an opportunity to get secretly high, doing “two, maybe three generous lines of Bing” in the bathroom","<lenz>Lenz</> uses his trips to A.A. as an opportunity to get secretly high, doing “two, maybe three generous lines of Bing” in the bathroom",eh,lenz
,,"12 November, Thursday",0005h,"611, 610",The ordinary chaos of an alternate-side parking switchover turns into a brawl with the appearance of a ‘trio of Nucks’ chasing Lenz; Gately is shot in the shoulder and taken to St. Elizabeth’s,The ordinary chaos of an alternate-side parking switchover turns into a brawl with the appearance of a ‘<trio>trio of Nucks</>’ chasing <lenz>Lenz</>; <gately>Gately</> is shot in the shoulder and taken to St. Elizabeth’s,"afr,eh","lenz,trio,gately,day,erdedy"
,,"""",1930h,1063,Pemulis gives Hal some help with math and the two talk about addiction,<pemulis>Pemulis</> gives <hal>Hal</> some help with math and the two talk about addiction,eta,"pemulis,hal"
,,"""",,700,Schtitt and Mario talk philosophically on the way to get ice cream; Avril tries to call the ‘Moment’ offices in Tucson,<schtitt>Schtitt</> and <mario>Mario</> talk philosophically on the way to get ice cream; <avril>Avril</> tries to call the <i><moment>Moment</></i> offices in Tucson,"onan,eta","moment,avril,mario,steeply,schtitt"
,,"""",,729,Marathe arrives at Ennet House and is interviewed by Pat,<marathe>Marathe</> arrives at Ennet House and is interviewed by <pat>Pat</>,"afr,eh","pat,marathe"
,,"""",,698,"Poor Tony, just released from Cambridge Hospital, robs Kate Gompert and Ruth van Cleve near Inman Square on his way to the Antitois’ shop","<poor-tony>Poor Tony</>, just released from Cambridge Hospital, robs <gompert>Kate Gompert</> and <van-cleve>Ruth van Cleve</> near Inman Square on his way to <antitois>the Antitois’</> shop","afr,eh","gompert,van-cleve,poor-tony,antitois"
,,"""",c.2212:30–40h,716,"Lenz, also on Prospect St., trails a pair of women carrying shopping bags","<lenz>Lenz</>, also on Prospect St., trails a pair of women carrying shopping bags",eh,lenz
,,"""",2224–6h,728,Poor Tony trips a pursuing Ruth with a waste barrel and escapes (which activity Lenz overhears while pulling off a mugging of his own),<poor-tony>Poor Tony</> trips a pursuing <van-cleve>Ruth</> with a waste barrel and escapes (which activity <lenz>Lenz</> overhears while pulling off a mugging of his own),eh,"gompert,van-cleve,poor-tony,lenz"
,,"""",,775,Kate Gompert has a drink with Marathe at “Ryle’s Inman Square Club of Jazz”; Marathe has chosen to betray the A.F.R. and hand Joelle off to O.U.S. instead,<gompert>Kate Gompert</> has a drink with <marathe>Marathe</> at “Ryle’s Inman Square Club of Jazz”; Marathe has chosen to betray the A.F.R. and hand <joelle>Joelle</> off to O.U.S. instead,"afr,eh","gompert,joelle,marathe"
,,"14 November, Saturday",,809,"An alive but intubation-muted Gately awakes in the hospital with a roommate who “seemed to have a box on its head” and is visited by Joelle, a certain Assistant D.A., and the wraith of James Incandenza","An alive but intubation-muted <gately>Gately</> awakes in the hospital with a <lord>roommate</> who “seemed to have a box on its head” and is visited by <joelle>Joelle</>, a certain <ada>Assistant D.A.</>, and the wraith of <joi>James Incandenza</>","onan,eh,eta","lord,joelle,joi,ada,gately"
,,"17 November, Tuesday",,785,Hal goes to Ennet House to ask about attending “some sort of Substance Anonymous” group,<hal>Hal</> goes to Ennet House to ask about attending “some sort of Substance Anonymous” group,"eta,eh",hal
,,"""",1420h,"1067, 1072",Pemulis reassures Possalthwaite that he can trust math; John Wayne “is insanely holding forth innermost thoughts for public ears” on Troeltsch’s radio show,<pemulis>Pemulis</> reassures <possalthwaite>Possalthwaite</> that he can trust math; <wayne>John Wayne</> “is insanely holding forth innermost thoughts for public ears” on <troeltsch>Troeltsch’s</> radio show,eta,"possalthwaite,wayne,troeltsch,pemulis"
,,"""",,1075,Pemulis is told to “hit the trail” at the end of the term due to his presumed role in Wayne’s meltdown (among other misdeeds),<pemulis>Pemulis</> is told to “hit the trail” at the end of the term due to his presumed role in <wayne>Wayne’s</> meltdown (among other misdeeds),eta,"wayne,pemulis,delint"
,,"""",,"800, 852",Hal thinks he’s attending an N.A. meeting but has actually walked into an “Inner Infant” group,<hal>Hal</> thinks he’s attending an N.A. meeting but has actually walked into an “Inner Infant” group,eta,hal
