pos,seq,section,subsection,pages,notes,year,month,date,head,subhead,capsule,plotlines,themes
26.0,32.0,10.0,1.0,68-78,28-30,2009.0,,early Y.D.A.U.,A frightening smile,"Kate Gompert, in hospital",Kate Gompert explains the extent of her addiction to marijuana to a young doctor.,AA&R,"Recur, Fear/Obsess, Isolation, Non-Action, Loss"
27.0,42.0,10.0,2.0,78-79,,2009.0,4.0,"2 April Y.D.A.U., just before 0145h.",His rictus of a face,Medical Attache catatonic,The medical attaché’s wife returns home...,Samizdat,"Recur, Waste, Isolation"
28.0,33.0,10.0,3.0,79-85,31-36,2009.0,,early Y.D.A.U.,The happy pleasure of the person alone,Gerhardt Schtitt & Mario walk and talk,Gerhardt Schtitt and Mario talk game theory on the way to get ice cream.,"E.T.A., Mario","Recur, Cycles, Isolation, Boundaries, Choice"
29.0,76.0,10.0,4.0,85-87,,2009.0,11.0,early November Y.D.A.U.,Little smiles and grimaces,Tiny Ewell’s cab ride,Tiny Ewell and a “big black” rehab staffer are transported to the Ennet House.,AA&R,"Recur, Phys/Ob"
30.0,43.0,10.0,5.0,87.0,,2009.0,4.0,"2 April Y.D.A.U., mid-afternoon",Not one bit distressed or in any way displeased,Medical Attache update #3,People come to the medical attaché’s house to look for him...,Samizdat,"Recur, Cycles, Waste, Non-Action"
31.0,44.0,11.0,1.0,87-92,37-41,2009.0,4.0,30 April Y.D.A.U.,Shadow-play,Marathe and Steeply: “You have ridiculous tits...”,"Tuscon, AZ. Marathe and special agent Hugh/Helen Steeply meet on a hillside to discuss the appearance, earlier that month, of a special form of Entertainment.","A.F.R., O.U.S., Samizdat","Recur, Cycles, Secrets, Boundaries, Phys/Ob"
32.0,21.0,11.0,2.0,93.0,,2008.0,,unspecified,Protective walls,“It’s a herd of feral hamsters.”,Description of a herd of feral hamsters in the Great Concavity. (The hamsters were freed “at the beginning of the experialist migration in the subsidized Year of the Whopper”).,O.N.A.N.,"Recur, Waste, Boundaries"
33.0,45.0,11.0,3.0,93-95,42.0,2009.0,4.0,April Y.D.A.U.,This little interface of you and me,"Marathe and Steeply in the desert, pt. 2",Marathe and Steeply continued.,"A.F.R., O.U.S.","Recur, Fear/Obsess, Secrets"
34.0,70.0,11.0,4.0,95-97,,2009.0,11.0,"3 November Y.D.A.U., 1640h.",The connectedness of all events,Pop quiz in the shower room,"Locker room banter at ETA. Troeltsch, Pemulis, Wayne, Stice, Struck, Freer, and Hal are present.","E.T.A., Hal, Tech","Recur, Waste"
35.0,46.0,11.0,5.0,97.0,,2009.0,4.0,30 April Y.D.A.U.,"Night, emerging","Marathe and Steeply, silent at dusk",Marathe and Steeply continued.,"A.F.R., O.U.S.",Boundaries
36.0,71.0,11.0,6.0,97-105,43.0,2009.0,11.0,3 November Y.D.A.U.,A grief felt in the bones,Exhausted in the ETA shower room,More banter in the locker room. Complaints about Schtitt’s expectations of them.,E.T.A.,"Recur, Cycles, Waste"
37.0,47.0,11.0,7.0,105-109,44-45,2009.0,4.0,30 April Y.D.A.U.,"Attached, fanatically; A citizen of nothing",Marathe and Steeply debate Helen of Troy,Marathe and Steeply continued. Talk of love...,"A.F.R., O.U.S., Samizdat","Recur, Boundaries, Choice"
38.0,72.0,11.0,8.0,109-121,46.0,2009.0,11.0,3 November Y.D.A.U.,Deeply alone,ETA Big Buddy Meetings,"Hal with his “little buddies” Kent Blott, Idris Arslanian, Ingersol. He convinces them that their resentment of Schtitt is engineered by Schtitt and his staff. Switches to John Wayne, Pemulis, Schacht, Troeltsch, Struck, and Stice, each with his group of younger students. (Pemulis has switched from drug talk to bilking his buddies in a game of three-card monty).","E.T.A., Hal","Recur, Cycles, Isolation, Boundaries, Choice"
39.0,64.0,11.0,9.0,121-126,,2009.0,10.0,mid-October Y.D.A.U.,Secret minutes alone,USS Millicent Kent seduces Mario!,Mario Incandenza’s First and Only Even Remotely Romantic Experience Thus Far with the “USS” Millicent Kent.,"E.T.A., Hal, Mario","Recur, Phys/Ob"
40.0,48.0,11.0,10.0,126-127,47-48,2009.0,4.0,30 April Y.D.A.U.,Some sort of game,Marathe and Steeply: Anti Entertainment,Marathe and Steeply continued.,"A.F.R., O.U.S., Samizdat","Recur, Secrets, Memory"
41.0,49.0,11.0,11.0,127.0,,2009.0,4.0,30 April Y.D.A.U.,Your walled nation,“Your murated nation.”,Marathe and Steeply continued. (One line.),"A.F.R., O.U.S.","Memory, Boundaries"
42.0,34.0,12.0,1.0,127-128,,2009.0,,early Y.D.A.U.,Off the sweat of others,"Lyle, the sweat licking guru",Nameless ETA kid talks about Lyle.,E.T.A.,Recur
43.0,19.0,12.0,2.0,128-135,,2008.0,12.0,24 December Y.D.P.A.H.,Wet work,Wo dranos C; Poor Tony wants the stole,"“yrstruly” narrates a story involving C, Poor Tony, and Dr. Wo in Chinatown. C overdoses. (This could be Clenette).",AA&R,"Recur, Waste, Phys/Ob"
44.0,75.0,13.0,1.0,135-137,,2009.0,11.0,3 November Y.D.A.U.,About separation,Orin calls Hal: he’s very hot.,Hal receives a phone call from Orin who asks him about Canadian Separatism.,"Hal, Orin","Recur, Isolation"
45.0,22.0,13.0,2.0,137-138,49-51,2008.0,,unspecified,Tradition of anonymity,Ennet House & its anonymous founder,"Introduction to the Ennet House rehab facility, founded in YW.","Ennet, Avril","Isolation, Choice"
46.0,17.0,13.0,3.0,138-140,,2008.0,6.0,26 June Y.D.P.A.H.,Trying to do the job alone,Absurd Workmen’s Comp claim,Excerpt from a letter to State Farm detailing a bricklayer’s bizarre accident.,AA&R,"Recur, Isolation"
47.0,12.0,13.0,4.0,140-142,,2005.0,2.0,21 February Y.P.W.,Riding lonely herd in paradise,"Hal’s term paper, reprinted","Hal’s seventh-grade essay comparing Hawaii-Five-O’s Steve McGarrett with Hill Street Blues’ Frank Furillo. (Hal's image of “the hero of non-action, the catatonic hero, the one beyond calm, divorced from all stimulus …” could describe both himself and Gately).","E.T.A., Hal, Art/Ent","Recur, Isolation, Non-Action"
48.0,61.0,13.0,5.0,142-144,,2009.0,8.0,10 August Y.D.A.U.,Kept from the light of public knowledge,Steeply’s “Artifical Heart Purse Snatch” piece,Helen Steeply’s Moment article about a woman who carried her artificial heart in her purse and was mugged. Poor Tony Krause was the purse snatcher.,"AA&R, O.U.S., Jim, Orin, Tech","Recur, Secrets, Phys/Ob, Time"
49.0,23.0,13.0,6.0,144.0,,2008.0,,unspecified,Opposition to interdependence,,Alphabetic list of anti-ONAN/separatist groups.,"A.F.R., O.N.A.N.",Isolation
50.0,27.0,13.0,7.0,144-151,,2009.0,,By Y.D.A.U.,Reluctant to leave home,The Rise and Fall of Videophony,Why video phones didn’t work.,Tech,"Cycles, Inf/Reg, Secrets, Isolation"
51.0,65.0,14.0,,151-156,52-55,2009.0,10.0,15 October Y.D.A.U.,Closely monitored,Buying Urinalysis/Hal & Pemulis bio,Urine tests at ETA. Pemulis sells clean samples,"E.T.A., AA&R, Hal, Mario","Recur, Cycles, Waste"
52.0,1.0,15.0,1.0,157-169,,1960.0,11.0,Winter 1960,Desperately forward toward the net,James Sr. lectures James; Ruined Knees,"Hal’s grandfather, James Incandenza’s father, narrates, addressing 10-year-old Jim. Discusses Marlon Brando, tennis, and his own father’s reaction when he blew out his knee at a match.","AA&R, Jim","Recur, Cycles, Inf/Reg, His/Father, Boundaries, Phys/Ob, Loss"
53.0,79.0,15.0,2.0,169-171,56-57,2009.0,11.0,"4 November Y.D.A.U., around lunchtime","Kinetic even in stasis, plowing temporally ahead",,Pemulis scores some DMZ from the Antitoi brothers.,"E.T.A., AA&R, Hal","Recur, Waste, Time"
54.0,14.0,15.0,3.0,172-176,,2007.0,4.0,April YUSHITYU,Fall forward into the court,“How To Be A Feral Tennis Prodigy”,"Hal’s narration of ‘Tennis and the Feral Prodigy’, a film by Mario Incandenza.","E.T.A., Hal, Jim","Recur, His/Father"
55.0,80.0,15.0,4.0,176-181,58-59,2009.0,11.0,"4 November Y.D.A.U, 1300h.-1500h.","How come I can’t stop, if I want to stop",,Selected transcripts from Pat Montesian’s logbook at Ennet House. Voices of recovering drug and alcohol abusers.,Ennet,"Recur, Cycles, Waste, Phys/Ob"
56.0,66.0,16.0,1.0,181-193,60-66,2009.0,10.0,"22–23 October Y.D.A.U., approx. 0000h–0101h.","Over time some kind of pattern emerges, a trend or rhythm",Madame Psychosis,"At WYYY, ‘60± with Madame Psychosis’, is about to air. The late shift engineer goes to the roof to drink a Millennial Fizzy and listen to the show. Mario listens to the show at HmH with Hal, who is now 17.","Hal, Joelle, Mario, Avril","Recur, Fear/Obsess, Cycles, Secrets, Isolation, His/Father, Boundaries, Loss"
57.0,77.0,16.0,2.0,193-198,67.0,2009.0,11.0,early November Y.D.A.U.,Seven moons orbiting a dead planet,Ennet Complex (EMPHH) layout,Description of Units 1–7 of the Enfield Marine Public Health Hospital complex where Ennet House is located.,"Ennet, Gately","Recur, Fear/Obsess, Inf/Reg, Isolation, Non-Action, Phys/Ob"
58.0,85.0,16.0,3.0,198-200,68.0,2009.0,11.0,"6 November Y.D.A.U., 1610h.",Various resistance-systems,"Weight Room, ETA",Freer and Kornspan work out while Rader consults with Lyle. Pemulis eavesdrops.,E.T.A.,"Recur, Non-Action, Phys/Ob"
59.0,81.0,16.0,4.0,200-211,69-72,2009.0,11.0,beginning 4 November Y.D.A.U.,"Many exotic new facts, intoxicated impulses",Tiny’s tattoo jones,"More detailed introduction to Ennet House and its residents. “New resident” Tiny Ewell has an obsession with tattoos. Kate Gompert now a resident, too.","AA&R, Ennet","Recur, Fear/Obsess, Inf/Reg, Secrets, Loss"
60.0,82.0,16.0,5.0,211-219,73-77,2009.0,11.0,4-5 November Y.D.A.U,The window of opportunity,The Incredibly Potent DMZ,Michael Pemulis explains that he has scored some DMZ from the Antitois. He stores it in his sneaker in the ceiling of subdorm B.,"E.T.A., AA&R, Hal","Recur, Fear/Obsess, Inf/Reg"
61.0,89.0,17.0,1.0,219-223,,2009.0,11.0,7 November Y.D.A.U.,She lost the ability to lie to herself,Joelle ponders demapping herself…,Joelle goes to Molly Notkin’s thesis party.,"AA&R, Joelle, Jim","Recur, Secrets, Inf/Reg, Isolation, Boundaries, Time, Loss"
62.0,35.0,17.0,2.0,223.0,78.0,2009.0,,early Y.D.A.U.,Subsidized time primer,,A chronology of ONAN’s revenue-enhancing Subsidized Time.,O.N.A.N.,"Secrets, Inf/Reg, Waste, Isolation, Time"
63.0,90.0,17.0,3.0,223-226,79.0,2009.0,11.0,November Y.D.A.U.,Unconstrained concealment,...Joelle continues her contemplation...,"Joelle thinks about Orin and his father, the “world’s best hailer of Boston cabs.”","AA&R, Samizdat, Joelle, Jim","Recur, Fear/Obsess, Memory"
64.0,36.0,17.0,4.0,227.0,,2009.0,,early Y.D.A.U.,H.P. Steeply: Curriculum Vitae,,Helen Steeply’s (Putative) Curriculum Vitae.,O.U.S.,Secrets
65.0,91.0,17.0,5.0,227-240,80-81,2009.0,11.0,7 November Y.D.A.U.,The encaged rapacious thing inside,...Joelle finishes the job.,Joelle attempts to overdose in the bathroom at a party of cinema graduate students,"AA&R, Samizdat, Joelle, Jim","Recur, Cycles, Secrets, Inf/Reg, Waste, Isolation, Memory"
66.0,16.0,18.0,1.0,240-242,,2008.0,,Y.D.P.A.H.,Waiting underground for anyone who digs,"Enfield, MA, and environs","Geographical description of Enfield, MA.","E.T.A., O.N.A.N.","Recur, Phys/Ob"
67.0,83.0,18.0,2.0,242-258,82-84,2009.0,11.0,5 November Y.D.A.U.,Stained-family-linen-type questions,Hal relates James’s suicide to Orin,"Hal and Orin on the telephone. Orin wants to discuss Himself’s suicide. Meanwhile, Hal is clipping his toenails and making miraculous shots into the wastepaper basket.","Hal, Jim, Orin","Recur, Fear/Obsess, Secrets, Memory"
68.0,86.0,19.0,1.0,258-270,85-89,2009.0,11.0,6 November Y.D.A.U.,Competitive tennis is largely mental,Port Washington tournament,"Tennis meet at Port Washington Tennis Academy, Long Island, N.Y. Descriptions of Hal and John ‘No Relation’ Wayne playing their respective matches. Pemulis vomits.","E.T.A., AA&R","Recur, Fear/Obsess"
69.0,84.0,19.0,2.0,270-281,90-91,2009.0,11.0,6 November Y.D.A.U.,The disease makes its command headquarters in the head,,"Gately, substance-free for 421 days, is now staff at Ennet House. Geoffrey Day, Charlotte Treat, and Randy Lenz are introduced. Pat Montesian has entry interviews at 0900h with two women and one man (presumably Gompert, Clenette, & Tiny).","Ennet, Gately","Recur, Fear/Obsess, Isolation, Time, Loss"
70.0,87.0,19.0,3.0,281-283,92.0,2009.0,11.0,"6 November Y.D.A.U. to 7 November Y.D.A.U., 0030h.",The whole mammoth travelling squad,Bus ride back from Port Washington,ETA returns from Long Island triumphant.,"E.T.A., AA&R",Recur
71.0,37.0,20.0,1.0,283-299,93-101,2009.0,,early Y.D.A.U.,"The roar gathering, tidal, amniotic","Orin: Punting, Joelle: Filming","The story of Orin and Joelle van Dyne, the Prettiest Girl of All Time. His switch from tennis to football in college.","E.T.A., Joelle, Orin","Recur, Fear/Obsess, Inf/Reg, Isolation, His/Father"
72.0,152.0,20.0,2.0,299-306,102-103,2009.0,11.0,14 November Y.D.A.U.,A rushing train roar that was no train on Earth,Poor Tony withdraws and crashes spectacularly,Poor Tony goes through withdrawal in a bathroom stall of the Boston public library in Copley. Leaves for the Antitois’.,AA&R,"Recur, Secrets, Waste, His/Father, Time"
73.0,88.0,21.0,1.0,306-312,104-112,2009.0,11.0,7 November Y.D.A.U.,Separation and return’s real meaning,Prorected Syllabus; Troeltsch’s play-by-play; Mirrors across I-87,Description of ETA’s academic classes. Schacht taking an exam on psychopathological double-binds. Troeltsch broadcasts the results of the Port Washington meet on ETA’s intercom. Hal is in Theirry Poutrincourt’s class on Canadian political history. Some details of anti-ONAN activity (e.g. large mirrors across highways).,"E.T.A., Hal, A.F.R., Mario, Orin, Avril, O.N.A.N.","Recur, Cycles, Secrets, Waste, His/Father, Choice"
74.0,38.0,21.0,2.0,312-317,113-119,2009.0,,early Y.D.A.U.,Buttressed on sets Himself had him help erect,“Every Inch Of Mario Incandenza”,"Mario’s surprise birth, and a description of some of his deformities.","E.T.A., Hal, Mario, Jim, Orin, Avril","Recur, Secrets, His/Father, Phys/Ob, Time, Choice"
75.0,50.0,21.0,3.0,317-321,,2009.0,5.0,30 April / 1 May Y.D.A.U.,"Not someout outside you, this enemy",Marathe and Steeply: Children and Freedom,Marathe and Steeply continued.,"A.F.R., O.U.S., Samizdat","Recur, Cycles, Inf/Reg, Isolation, His/Father, Non-Action, Choice"
76.0,92.0,22.0,1.0,321-342,120-130,2009.0,11.0,"8 November Y.D.A.U., 1400h.–1600h.",Degenerating into chaos,ESCHATON!,Interdependence Day. Gaudeamus Igitur.,"E.T.A., Hal","Recur, Inf/Reg, Waste, Non-Action, Boundaries"
77.0,104.0,22.0,2.0,343-367,131-141,2009.0,11.0,"8 November Y.D.A.U., 2000h.-2045h.",This cliffish nexus of exactly two total choices,Real dependence/Boston AAs (longest chapter),"Boston AA meeting. Description of several speakers, and the “crocodiles.” Gately is curious about “brand-new girl” Joelle.","AA&R, Ennet, Gately, Joelle","Recur, Inf/Reg, Secrets, Boundaries, Choice, Dreams"
78.0,24.0,22.0,3.0,367.0,,2008.0,,unspecified,Changed each 1 Jan.,,The product placement on the Statue of Liberty is changed annually.,O.N.A.N.,Cycles
79.0,105.0,22.0,4.0,367-375,142-143,2009.0,11.0,"8 November Y.D.A.U., 2045h.-2130h.",One particular seminally scarring night,,Boston AA meeting. A young girl describes her foster father sexually abusing her paraplegic stepsister...,AA&R,"Recur, Inf/Reg"
80.0,51.0,22.0,5.0,375.0,,2009.0,5.0,30 April / 1 May Y.D.A.U.,Back in the field of duty,Marathe unsure of Steeply,Marathe and Steeply continued.,"A.F.R., O.U.S.","Recur, Secrets"
81.0,8.0,22.0,6.0,375-376,144-145,2002.0,2.0,early Y.W.,Found drama,Himself visits Lyle,James Incandenza’s ‘Found Drama’ came out of a late-night session with Lyle in the “first brutal winter night early in the ONANite temporo-subsidized era.”,"Jim, Orin, Art/Ent",Recur
82.0,106.0,22.0,7.0,376-379,,2009.0,11.0,"8 November Y.D.A.U., 2045h.-2130h.",The arrow of responsibility,Why Deny the Marcescent Child?,Boston AA meeting. Story of baby’s death.,AA&R,"Recur, Inf/Reg"
83.0,7.0,22.0,8.0,379.0,146.0,1999.0,,c. 1999-2001,The Odd Couple of libations,,James Incandenza and Lyle in the weight room.,"E.T.A., Jim, Mario",Recur
84.0,95.0,23.0,1.0,380-386,147-151,2009.0,11.0,"8 November Y.D.A.U., 1930h.-2018h.","Sucrotically mad, the gala but rather ironic annual celebration",ETA Gala: “ONANTiad of Mario”,Mario Incandenza’s film interpretation of the formation of ONAN.,"E.T.A., Mario, Art/Ent, O.N.A.N.","Recur, Fear/Obsess, Secrets, Waste"
85.0,96.0,23.0,2.0,386-390,152-153,2009.0,11.0,"8 November Y.D.A.U., 1930h.-2018h.","Stunted desire, snared by something untrue",ETA Gala/Lyle,"Lyle in the weight room with sweaty ETA students, including Anton ‘Booger’ Doucette. Return to Mario’s film, which is now covering major political events with a montage of newspaper headlines. History of ONAN.",E.T.A.,"Recur, Fear/Obsess"
86.0,97.0,23.0,3.0,391-394,,2009.0,11.0,"8 November Y.D.A.U., 1930h.-2018h.","Historical headers, a whole bright spanking new millennium",,Reconfiguration headlines,O.N.A.N.,"Recur, Fear/Obsess, Cycles, Waste"
87.0,98.0,23.0,4.0,394-395,,2009.0,11.0,"8 November Y.D.A.U., 1930h.-2018h.",Do not underestimate objects,Lyle’s levitating chair story,"Lyle tells Ortho ‘The Darkness’ Stice, “Do not underestimate objects.” Stice’s bed has been moving at night.",E.T.A.,"Recur, Phys/Ob"
88.0,99.0,23.0,5.0,395-398,154-155,2009.0,11.0,"8 November Y.D.A.U., 1930h.-2018h.","Severe compulsion issues, audience-obsessed pieces",James O.’s Films,"Hal watching Mario’s film. Descriptions of Himself’s ‘The Medusa vs. the Odalisque’, ‘Eyeball’, and ‘The Joke’.","Hal, Jim, Mario, Art/Ent","Recur, Non-Action"
89.0,100.0,23.0,6.0,398-410,156-160,2009.0,11.0,"8 November Y.D.A.U., 1930h.-2018h.",Willing to eliminate own map out of sheer pique,More ONANtiad/Clipperton,"Continuation of Mario’s film, with more headlines and a puppet show of Gentle and Rodney Tine, Chief, US Office of Unspecified Services. The story of Eric Clipperton and his Glock 17 semiautomatic.","E.T.A., Jim, Mario, O.N.A.N.","Recur, Fear/Obsess, Secrets, Waste, Boundaries"
90.0,101.0,23.0,7.0,410-418,161-168,2009.0,11.0,"8 November Y.D.A.U., 1930h.-2018h.",The vulnerable psyche of an increasingly hygiene-conscious U.S.A.,"Hal’s Paper: Broadcast Networks & Advertising fold, InterLace Emerges","Hal watching Mario’s film. History of Interlace, proliferation of advertising, and garbage in space.","Hal, Art/Ent, O.N.A.N.","Recur, Fear/Obsess, Inf/Reg, Waste, Non-Action, Choice"
91.0,52.0,23.0,8.0,418-430,169-174,2009.0,5.0,30 April / 1 May Y.D.A.U.,Knowledgeable choices about pleasure and delay,Freedom to choose?,Marathe and Steeply continued.,"A.F.R., O.U.S.","Recur, Secrets, Inf/Reg, Phys/Ob, Choice"
92.0,102.0,23.0,9.0,430-434,175.0,2009.0,11.0,"8 November Y.D.A.U., 1930h.-2018h.",The Clipperton suite,,Eric Clipperton’s suicide in an ETA dorm.,"E.T.A., Mario","Recur, Fear/Obsess"
93.0,107.0,23.0,10.0,434-436,,2009.0,11.0,"9 November Y.D.A.U., 0430h.-0801h.",Human waste in the showers,Gately & Stavros janitize Shattuck,Gately’s other job: cleaning bathrooms.,Gately,"Recur, Inf/Reg, Waste"
94.0,103.0,23.0,11.0,436-442,176-177,2009.0,11.0,"8 November Y.D.A.U., 1930h.-2018h.",A desolate late-day hysteria,Cyanide Quik/Subsidized time cabinet mtg.,"Mario’s film continued. Headlines and puppets, origin of subsidized time.","E.T.A., O.N.A.N.",Recur
95.0,60.0,24.0,1.0,442-449,178-179,2009.0,6.0,July Y.D.A.U.,Burpling greasily up into memory,"AA: Gately on God, Mom, and memories",Gately’s relationship with ‘the crocodiles’. He remembers the death of his mother.,"AA&R, Gately","Recur, Fear/Obsess, Memory, Choice, Dreams"
96.0,67.0,24.0,2.0,449-450,180.0,2009.0,10.0,Very Late October Y.D.A.U.,Like somebody’s mind coming apart,,Hal’s dental nightmare. Mario misses Joelle,"Hal, Mario","Recur, Fear/Obsess, Dreams"
97.0,108.0,24.0,3.0,450-461,181-187,2009.0,11.0,"9 November Y.D.A.U., 0600h.–0730h.",The game’s two heads’ one world,,Morning drills at ETA and Schtitt’s lecture.,"E.T.A., Hal","Recur, Fear/Obsess, Boundaries"
98.0,93.0,24.0,4.0,461-469,188-197,2009.0,11.0,8 November Y.D.A.U.,Like your mind wasn’t in possession of your body,"Gately shops, cooks, drives Pat’s Aventura","Don Gately’s responsibilities at Ennet House. His boss, Pat Montesian.","Ennet, Gately","Recur, Inf/Reg, Phys/Ob"
